         41373135 function calls (41372477 primitive calls) in 139.881 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.001    0.000 internals.py:3234(_verify_integrity)
       28    0.000    0.000    0.225    0.008 pytables.py:1084(get_node)
       14    0.000    0.000    0.033    0.002 file.py:1356(create_vlarray)
       84    0.000    0.000    0.006    0.000 atom.py:652(__init__)
       42    0.000    0.000    0.000    0.000 inspect.py:2431(__init__)
       84    0.000    0.000    0.000    0.000 pytables.py:2288(_handle)
       28    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      140    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_encode}
       14    0.000    0.000    1.767    0.126 frame.py:6396(<listcomp>)
       14    0.000    0.000    0.005    0.000 internals.py:3012(__init__)
       84    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:861(_find_spec_legacy)
       98    0.000    0.000    0.001    0.000 common.py:372(is_timedelta64_dtype)
       14    0.000    0.000    0.006    0.000 {built-in method builtins.print}
      252    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      112    0.000    0.000    0.001    0.000 node.py:833(_g_check_group)
       14    0.000    0.000    0.187    0.013 pytables.py:543(open)
      112    0.000    0.000    0.000    0.000 base.py:551(_reset_identity)
       28    0.000    0.000    0.001    0.000 base.py:433(_shallow_copy)
       70    0.000    0.000    0.000    0.000 leaf.py:475(_g_fix_byteorder_data)
      168    0.000    0.000    0.003    0.000 common.py:118(is_sparse)
       42    0.000    0.000    0.051    0.001 group.py:875(_g_close_descendents)
      252    0.000    0.000    0.000    0.000 internals.py:4404(_block)
       84    0.000    0.000    0.000    0.000 pytables.py:2292(_filters)
       84    0.000    0.000    0.014    0.000 base.py:762(_values)
      196    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       84    0.000    0.000    0.000    0.000 internals.py:4498(external_values)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       56    0.000    0.000    0.000    0.000 numeric.py:729(<genexpr>)
       98    0.000    0.000    0.001    0.000 common.py:1722(_get_dtype)
       84    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       56    0.000    0.000    0.002    0.000 common.py:511(is_string_dtype)
       42    0.000    0.000    0.000    0.000 {built-in method _codecs.lookup}
      140    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       84    0.000    0.000    0.000    0.000 series.py:326(_set_subtyp)
       14    0.000    0.000    0.001    0.000 inspect.py:1777(_signature_bound_method)
       84    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
